reservation_status,reserved_date,number_of_nights,room_type,maximum_occupancy,price_per_night,reference
Reserved,06/07/22,5,Double,3,53,164-RLMZRK-414
Available, , ,Quad,6,85,
Reserved,12/07/22,11,Twin,4,59,413-HGKQBR-103
Reserved,30/06/22,11,Double,3,53,863-IHZUKD-033
Reserved,18/05/22,9,Triple,5,79,737-DTRSJS-785
Reserved,08/08/22,12,Single,2,31,097-PMDFPW-474
Available, , ,Triple,5,79,
Reserved,30/10/22,3,Single,2,31,715-KJEEYR-369
Available, , ,Double,3,53,
Available, , ,Double,3,53,
Reserved,03/11/22,3,Quad,6,85,940-ALEQEZ-690
Available, , ,Double,3,53,
Reserved,03/06/2022,26,Single,2,31,952-UOMXZQ-858
Reserved,26/05/2022,28,Single,2,31,611-UPGGCV-323
Available, , ,Triple,5,79,
Available, , ,Quad,6,85,
Available, , ,Single,2,31,
Available, , ,Single,2,31,
Available, , ,Quad,6,85,
Available, , ,Single,2,31,
Reserved,09/09/22,6,Triple,5,79,081-KVXZAE-379
Reserved,16/08/22,13,Double,3,53,381-RXPPOF-435
Available, , ,Double,3,53,
Available, , ,Twin,4,59,
Available, , ,Triple,5,79,
Reserved,06/05/22,6,Double,3,53,371-XXWYFN-785
Reserved,22/10/22,4,Double,3,53,485-BSOLDL-393
Available, , ,Single,2,31,
Reserved,11/11/22,8,Single,2,31,501-OGTWWZ-457
Reserved,17/07/22,8,Quad,6,85,833-HVJHHE-864
Available, , ,Single,2,31,
Reserved,01/07/22,9,Single,2,31,260-SVKTNG-234
Reserved,06/10/22,13,Double,3,53,452-EBZMQW-861
Available, , ,Twin,4,59,
Available, , ,Triple,5,79,
Available, , ,Triple,5,79,
Reserved,24/12/22,11,Twin,4,59,163-KPXOTZ-138
Reserved,18/08/22,2,Quad,6,85,029-LQNKNR-512
Available, , ,Triple,5,79,
Reserved,29/07/22,1,Single,2,31,953-LYQQBJ-148
Available, , ,Quad,6,85,
Reserved,08/11/22,7,Single,2,31,453-FPIDNW-226
Reserved,21/07/22,7,Quad,6,85,056-TSGTUN-353
Reserved,07/06/22,14,Twin,4,59,548-SDUGFF-681
Available, , ,Single,2,31,
Available, , ,Twin,4,59,
Reserved,22/12/22,5,Single,2,31,100-DNTTUR-778
Available, , ,Quad,6,85,
Available, , ,Single,2,31,
Available, , ,Single,2,31,
Available, , ,Double,3,53,
Available, , ,Quad,6,85,
Available, , ,Single,2,31,
Available, , ,Triple,5,79,
Available, , ,Single,2,31,
Reserved,06/08/22,3,Quad,6,85,269-EDQHTM-143
Available, , ,Triple,5,79,
Available, , ,Quad,6,85,
Reserved,27/12/22,9,Quad,6,85,782-XKYXCW-003
Available, , ,Triple,5,79,
Reserved,22/08/22,11,Single,2,31,962-JDTQDF-750
Reserved,01/12/22,1,Double,3,53,029-TERAFN-749
Available, , ,Double,3,53,
Reserved,26/11/22,11,Triple,5,79,390-SBNJAX-082
Reserved,06/08/22,5,Single,2,31,702-SBLINY-021
Available, , ,Quad,6,85,
Reserved,12/05/22,4,Twin,4,59,496-VBLQRV-028
Available, , ,Quad,6,85,
Reserved,20/06/22,3,Twin,4,59,277-VJVXVJ-649
Reserved,10/07/22,3,Single,2,31,561-SDCCQV-725
Available, , ,Double,3,53,
Available, , ,Double,3,53,
Reserved,11/08/22,13,Double,3,53,516-BTYPPK-415
Reserved,29/10/22,3,Quad,6,85,487-QTESVS-132
Available, , ,Twin,4,59,
Available, , ,Single,2,31,
Reserved,09/10/22,8,Twin,4,59,345-VNGWRM-562
Reserved,17/10/22,9,Double,3,53,126-IBBAIB-989
Available, , ,Double,3,53,
Reserved,28/05/22,1,Triple,5,79,172-AJQDYU-743
Reserved,28/07/22,7,Single,2,31,706-SIIGIP-608
Available, , ,Single,2,31,
Available, , ,Quad,6,85,
Reserved,04/11/22,7,Double,3,53,279-NVLYEE-472
Reserved,06/07/22,11,Quad,6,85,222-UYEXWY-319
Available, , ,Quad,6,85,
Reserved,05/08/22,12,Single,2,31,327-TGTDVD-181
Available, , ,Single,2,31,
Available, , ,Twin,4,59,
Available, , ,Single,2,31,
Reserved,08/10/22,7,Triple,5,79,144-LCPOMV-225
Available, , ,Single,2,31,
Available, , ,Single,2,31,
Reserved,25/11/22,8,Quad,6,85,868-JQSIEJ-501
Available, , ,Double,3,53,
Available, , ,Single,2,31,
Reserved,17/12/22,14,Single,2,31,663-OEKFYE-184
Reserved,19/12/22,10,Twin,4,59,722-PRLMTT-898
Available, , ,Triple,5,79,
Reserved,11/12/22,8,Single,2,31,832-WPVSWJ-627
Reserved,14/06/22,5,Twin,4,59,743-HTMHXV-482
Reserved,21/06/22,7,Twin,4,59,547-SKIQHM-850
Available, , ,Double,3,53,
Reserved,18/10/22,6,Twin,4,59,887-YCKOJH-960
Available, , ,Single,2,31,
Reserved,07/07/22,7,Double,3,53,496-HYEOCI-825
Reserved,01/09/22,11,Single,2,31,671-JRXDVV-037
Available, , ,Single,2,31,
Reserved,01/10/22,9,Twin,4,59,088-RSNRXH-567
Reserved,05/05/22,14,Quad,6,85,587-AXSJHA-840
Reserved,07/07/22,7,Double,3,53,317-BFJGWC-159
Available, , ,Single,2,31,
Available, , ,Quad,6,85,
Available, , ,Double,3,53,
Available, , ,Quad,6,85,
Available, , ,Double,3,53,
Available, , ,Single,2,31,
Available, , ,Twin,4,59,
Available, , ,Quad,6,85,
Available, , ,Twin,4,59,
Reserved,12/10/22,2,Double,3,53,755-CLHTWW-842
Available, , ,Single,2,31,
Available, , ,Double,3,53,
Available, , ,Single,2,31,
Available, , ,Triple,5,79,
Available, , ,Double,3,53,
Reserved,09/08/22,13,Quad,6,85,184-HLLLGE-379
Reserved,17/07/22,11,Triple,5,79,041-PJVPQU-519
Available, , ,Single,2,31,
Available, , ,Twin,4,59,
Available, , ,Single,2,31,
Reserved,22/10/22,9,Double,3,53,801-XZRHAM-006
Reserved,26/12/22,4,Triple,5,79,938-FIBTQT-482
Reserved,04/08/22,9,Twin,4,59,977-VNOHGT-776
Reserved,21/09/22,2,Triple,5,79,965-QOZGHU-625
Reserved,04/10/22,7,Triple,5,79,436-MDFQSH-317
Reserved,23/05/22,10,Quad,6,85,306-XKDNIK-854
Reserved,16/11/22,10,Quad,6,85,910-RTDQWB-952
Available, , ,Triple,5,79,
Reserved,07/07/22,12,Single,2,31,734-KRWBKH-824
Available, , ,Single,2,31,
Available, , ,Single,2,31,
Reserved,15/09/22,7,Quad,6,85,109-IAAEED-529
Available, , ,Quad,6,85,
Reserved,30/10/22,12,Single,2,31,250-DANUQG-488
Available, , ,Quad,6,85,
Available, , ,Double,3,53,
Available, , ,Twin,4,59,
Available, , ,Triple,5,79,
Reserved,11/05/22,4,Quad,6,85,227-ZHPQRE-453
Available, , ,Twin,4,59,
Reserved,21/05/22,13,Single,2,31,004-ORDWGM-239
Available, , ,Twin,4,59,
Available, , ,Triple,5,79,
Available, , ,Twin,4,59,
Reserved,19/05/22,4,Twin,4,59,033-VUVZBS-441
Available, , ,Double,3,53,
Available, , ,Double,3,53,
Reserved,28/09/22,14,Twin,4,59,597-GGQHVP-549
Reserved,15/09/22,14,Twin,4,59,896-AZGWKQ-657
Available, , ,Quad,6,85,
Reserved,12/06/22,1,Single,2,31,169-XWSKGD-615
Reserved,27/09/22,6,Double,3,53,129-TGJVGX-047
Reserved,14/10/22,3,Twin,4,59,852-HRURQK-785
Reserved,10/05/22,13,Double,3,53,184-ZFGPGW-199
Reserved,18/05/22,4,Twin,4,59,402-URAWTV-258
Available, , ,Triple,5,79,
Available, , ,Single,2,31,
Reserved,30/12/22,4,Single,2,31,020-ZLELDM-572
Reserved,26/11/22,12,Single,2,31,535-BPCAQL-571
Available, , ,Double,3,53,
Reserved,02/09/22,7,Twin,4,59,116-AWOHBM-792
Reserved,12/12/22,8,Single,2,31,081-IQJEMU-911
Available, , ,Single,2,31,
Reserved,06/05/22,6,Twin,4,59,996-PGEARX-964
Reserved,24/08/22,3,Double,3,53,824-IIELVG-747
Available, , ,Twin,4,59,
Available, , ,Double,3,53,
Reserved,06/06/22,4,Single,2,31,963-OSSBPT-190
Available, , ,Double,3,53,
Available, , ,Twin,4,59,
Available, , ,Single,2,31,
Available, , ,Triple,5,79,
Available, , ,Single,2,31,
Available, , ,Quad,6,85,
