context,response,text,label
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Hi there,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hi there,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hi,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Hi,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Hey there,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hey there,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hey,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Hello there,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hello there,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hello,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Greetings,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",greetings,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Nice to meet you,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",nice to meet you,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",yo,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Yo,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hi fam,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Aloha,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Good morning,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Good afternoon,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",Good evening,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",hey dude,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",yo fam,greeting
[''],"[""Hi, I'm a hotel booking system chatbot. Ask me anything about our hotel."", ""Hello, what can I assist you with today?"", ""Greetings, how may I be of assistance?""]",sup,greeting
